Route State,Total_Shipments,Avg_Lead_Time,Lead_Time_StdDev,Delay_Frequency_Pct,Total_Sales,Total_Gross_Profit,Lead_Time_Score,Delay_Score,Route_Efficiency_Score
Lot's O' Nuts → Massachusetts,76,3.9342105263157894,2.1499489998031085,30.26,1003.24,690.54,58.68838763575607,45.12,53.3
Wicked Choccy's → Iowa,14,4.214285714285714,1.7619295117556788,21.43,172.5,112.5,45.3514739229025,65.30285714285715,53.3
Lot's O' Nuts → Nevada,24,4.25,1.8939262186630001,20.83,389.21000000000004,268.11,43.650793650793666,66.67428571428572,52.9
Wicked Choccy's → Indiana,54,4.333333333333333,1.5171970183377075,18.52,708.25,461.31,39.68253968253971,71.95428571428572,52.6
Lot's O' Nuts → Virginia,109,4.036697247706422,2.0454403017107894,28.44,1538.84,1059.24,53.80806756953548,49.28,52.0
Lot's O' Nuts → New York,645,4.027906976744186,2.0707582831198916,29.3,8757.81,6055.01,54.22665190107053,47.31428571428572,51.5
Wicked Choccy's → Utah,23,4.0,2.1320071635561044,30.43,362.5,236.1,55.55555555555557,44.73142857142857,51.2
Wicked Choccy's → Texas,388,4.005154639175258,2.079796806514208,30.41,5140.5,3347.74,55.31009654720996,44.777142857142856,51.1
Wicked Choccy's → Florida,161,4.043478260869565,2.1282264508475026,29.81,2009.25,1308.59,53.485162180814356,46.14857142857144,50.6
Lot's O' Nuts → Arkansas,31,4.096774193548387,1.955417069061865,29.03,434.69,299.69,50.94726062468,47.93142857142857,49.7
Lot's O' Nuts → Kansas,15,4.0,2.4784787961282104,33.33,188.93,130.83,55.55555555555557,38.10285714285715,48.6
Lot's O' Nuts → Maryland,60,4.083333333333333,2.2039384367010713,31.67,812.74,567.54,51.58730158730162,41.89714285714285,47.7
Wicked Choccy's → Arizona,105,4.038095238095238,2.192310905466446,33.33,1429.5,931.46,53.74149659863948,38.10285714285715,47.5
Lot's O' Nuts → Illinois,267,4.1610486891385765,2.0428445691512316,29.59,3539.21,2452.51,47.8865703584805,46.651428571428575,47.4
Lot's O' Nuts → Arizona,111,4.099099099099099,2.280171265317805,31.53,1468.05,1013.15,50.836550836550835,42.21714285714286,47.4
Wicked Choccy's → Virginia,106,4.2075471698113205,1.9938810258821524,28.3,1490.0,970.2,45.672356993111734,49.6,47.2
Wicked Choccy's → Illinois,210,4.1761904761904765,2.075697787072614,30.48,2801.5,1825.22,47.16553287981859,44.61714285714286,46.1
Wicked Choccy's → New Jersey,59,4.305084745762712,1.859312417295201,27.12,672.0,437.56,41.02771051923595,52.29714285714286,45.5
Wicked Choccy's → Pennsylvania,227,4.224669603524229,1.9861710509048547,29.96,2804.25,1826.99,44.85700300678275,45.80571428571429,45.2
The Other Factory → New York,14,4.285714285714286,2.1277858274442303,28.57,181.75,29.75,41.950113378684826,48.98285714285714,44.8
Lot's O' Nuts → Michigan,147,4.156462585034014,2.1540044907551312,32.65,2103.76,1450.86,48.10495626822159,39.657142857142865,44.7
Wicked Choccy's → Kentucky,58,4.275862068965517,1.8523868286881655,29.31,769.25,501.39,42.419266557197616,47.29142857142857,44.4
Secret Factory → Ohio,13,4.230769230769231,1.9215378456610455,30.77,768.75,384.95,44.56654456654458,43.95428571428572,44.3
Wicked Choccy's → New York,436,4.178899082568807,2.138882440794581,32.8,5518.25,3594.11,47.0365516237076,39.31428571428572,43.9
Lot's O' Nuts → Texas,569,4.22847100175747,2.029838494308856,31.46,7642.34,5278.34,44.67598404329511,42.37714285714286,43.8
Lot's O' Nuts → Wisconsin,58,4.155172413793103,2.1909040362525594,34.48,768.25,531.95,48.16639299397923,35.47428571428572,43.1
Wicked Choccy's → California,823,4.228432563791008,2.0778798729551773,33.05,11394.0,7421.32,44.67781442265041,38.74285714285715,42.3
Wicked Choccy's → New Mexico,17,4.352941176470588,1.656093916063799,29.41,229.5,149.26,38.74883286647995,47.06285714285714,42.1
Lot's O' Nuts → Iowa,16,4.5,1.591644851508443,25.0,227.87,157.47,31.74603174603176,57.142857142857146,41.9
Lot's O' Nuts → North Carolina,143,4.2027972027972025,2.114868359235045,34.27,2045.6100000000001,1417.01,45.898545898545926,35.95428571428571,41.9
Wicked Choccy's → Oklahoma,25,4.28,2.2457367016935295,32.0,308.25,200.91,42.22222222222222,41.142857142857146,41.8
Lot's O' Nuts → Utah,29,4.241379310344827,1.9576803404210137,34.48,393.91,270.11,44.06130268199236,35.47428571428572,40.6
Lot's O' Nuts → Pennsylvania,331,4.314199395770393,1.9888501801062664,33.23,4338.55,2993.65,40.59367956648924,38.331428571428575,39.7
Lot's O' Nuts → Oregon,77,4.428571428571429,1.8240251284379092,29.87,1085.9,751.6,35.147392290249435,46.011428571428574,39.5
Wicked Choccy's → Oregon,43,4.4186046511627906,1.8927500544311922,30.23,628.25,409.51,35.62200073827983,45.18857142857143,39.4
Lot's O' Nuts → New Jersey,65,4.430769230769231,1.7586325544406551,30.77,825.88,567.98,35.04273504273504,43.95428571428572,38.6
Wicked Choccy's → Massachusetts,54,4.425925925925926,1.797292007562277,31.48,671.25,436.95,35.273368606701965,42.331428571428575,38.1
Wicked Choccy's → Georgia,65,4.2153846153846155,2.301441855747091,38.46,862.25,561.43,45.2991452991453,26.377142857142857,37.7
Lot's O' Nuts → Mississippi,30,4.4,2.237609561948674,33.33,448.43,312.33,36.5079365079365,38.10285714285715,37.1
Lot's O' Nuts → Georgia,110,4.290909090909091,2.231325991363232,37.27,1474.09,1027.79,41.70274170274171,29.097142857142853,36.7
Lot's O' Nuts → Indiana,90,4.366666666666666,1.945608711541703,35.56,1253.78,869.58,38.09523809523813,33.005714285714284,36.1
Wicked Choccy's → Arkansas,27,4.333333333333333,2.1122354181147664,40.74,393.5,256.38,39.68253968253971,21.16571428571428,32.3
Lot's O' Nuts → Oklahoma,41,4.414634146341464,2.1791696785254877,39.02,569.4,395.0,35.81107239643824,25.097142857142853,31.5
Lot's O' Nuts → Nebraska,23,4.304347826086956,2.3048325241602434,43.48,295.28000000000003,205.38,41.06280193236718,14.902857142857151,30.6
Wicked Choccy's → Delaware,49,4.530612244897959,1.9589755062311542,36.73,601.5,391.42,30.28830579850989,30.331428571428578,30.3
Lot's O' Nuts → Quebec,24,4.375,2.392242898820377,41.67,242.93,165.83,37.69841269841271,19.039999999999996,30.2
Lot's O' Nuts → Minnesota,43,4.72093023255814,1.563353864146061,32.56,561.21,388.81,21.22554448135843,39.86285714285714,28.7
Lot's O' Nuts → Alabama,34,4.647058823529412,1.905054726664421,35.29,475.61,326.91,24.743230625583564,33.62285714285714,28.3
Wicked Choccy's → Michigan,100,4.59,1.8753854822597689,38.0,1127.0,733.56,27.46031746031748,27.428571428571427,27.4
Wicked Choccy's → Quebec,24,4.916666666666667,1.501207243656184,29.17,254.75,165.53,11.904761904761905,47.61142857142857,26.2
Wicked Choccy's → Tennessee,67,4.776119402985074,1.7040139379354928,35.82,915.75,596.21,18.597488746742513,32.41142857142857,24.1
Wicked Choccy's → New Hampshire,11,4.818181818181818,1.6624188291872672,36.36,208.25,135.51,16.594516594516598,31.177142857142858,22.4
Wicked Choccy's → Wisconsin,47,4.638297872340425,1.9496435785179411,42.55,737.25,479.83,25.160418777440075,17.028571428571432,21.9
Lot's O' Nuts → Tennessee,109,4.660550458715596,1.9824236171649352,42.2,1361.56,941.76,24.100771807193855,17.828571428571422,21.6
Wicked Choccy's → Mississippi,22,4.863636363636363,2.007022303846803,45.45,315.75,205.61,14.43001443001446,10.399999999999993,12.8
Lot's O' Nuts → New Mexico,18,4.944444444444445,1.924217861647939,44.44,260.71,179.41,10.582010582010586,12.708571428571434,11.4
Wicked Choccy's → Ontario,30,5.166666666666667,1.4403862827999163,40.0,466.25,303.35,0.0,22.857142857142858,9.1
Wicked Choccy's → Manitoba,10,4.9,2.131770260709264,50.0,120.25,78.27,12.698412698412696,0.0,7.6
Lot's O' Nuts → British Columbia,18,5.111111111111111,1.4907119849998598,44.44,253.4,173.8,2.6455026455026784,12.708571428571434,6.7
